timestamp_utc,unix_time,slug,seconds_left,up_bid,up_ask,up_mid,down_bid,down_ask,down_mid,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,up_imbalance,down_imbalance,up_change_5s,up_change_15s,up_change_30s,pair_ask_cost,signal,score,reasons
2026-09-21 11:23:24,1789989803,btc-updown-5m-1789989600,97,0.85,0.86,0.855,0.14,0.15,0.14500000000000002,2412.07,1262.5,897.18,2402.02,0.3128447682313849,-0.4561226964112513,,,,1.01,WAIT,2,"UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:23:26,1789989805,btc-updown-5m-1789989600,95,0.84,0.85,0.845,0.15,0.16,0.155,1644.52,1371.16,1354.66,1683.79,0.09064622241086583,-0.10832167717092593,,,,1.01,WAIT,0,
2026-09-21 11:23:27,1789989807,btc-updown-5m-1789989600,93,0.85,0.86,0.855,0.14,0.15,0.14500000000000002,2007.29,1259.8899999999999,935.13,2007.0499999999997,0.2287599703720028,-0.36432849111883014,,,,1.01,WAIT,2,"UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:23:29,1789989808,btc-updown-5m-1789989600,92,0.82,0.83,0.825,0.17,0.18,0.175,1963.2199999999998,521.3199999999999,337.84000000000003,2479.47,0.5803488774582015,-0.7601683875753821,-0.030000000000000027,,,1.01,WAIT,0,"UP5-,UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:26:36,1789989984,btc-updown-5m-1789989900,216,0.84,0.85,0.845,0.15,0.16,0.155,1904.28,2566.2400000000002,2497.45,1873.47,-0.148072260050285,0.14275713122180222,,,,1.01,WAIT,0,
2026-09-21 11:26:39,1789989997,btc-updown-5m-1789989900,203,0.84,0.85,0.845,0.15,0.16,0.155,2409.48,2197.25,2490.2799999999997,2357.18,0.04606955476010099,0.02745767886687047,0.0,,,1.01,WAIT,0,
2026-09-21 11:26:41,1789990000,btc-updown-5m-1789989900,200,0.81,0.82,0.815,0.17,0.18,0.175,2772.2300000000005,1360.88,1197.15,2377.71,0.3414740957777558,-0.3302395058827478,-0.030000000000000027,-0.030000000000000027,,1.0,WAIT,0,"UP5-,UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:26:42,1789990002,btc-updown-5m-1789989900,198,0.83,0.84,0.835,0.16,0.17,0.165,3333.8599999999997,1092.5700000000002,1090.18,3333.8599999999997,0.506342583074848,-0.5071563548250014,-0.010000000000000009,-0.010000000000000009,,1.01,WAIT,2,"UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:26:44,1789990003,btc-updown-5m-1789989900,197,0.83,0.84,0.835,0.16,0.17,0.165,1068.1,2084.39,2090.6,1146.5,-0.32237691475627206,0.29164993358252755,-0.010000000000000009,-0.010000000000000009,,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:26:45,1789990005,btc-updown-5m-1789989900,195,0.83,0.84,0.835,0.16,0.17,0.165,1536.5,2125.12,2109.91,1621.5,-0.16075398320961756,0.13089153965927086,0.020000000000000018,-0.010000000000000009,,1.01,WAIT,0,
2026-09-21 11:26:47,1789990006,btc-updown-5m-1789989900,194,0.78,0.79,0.785,0.21,0.22,0.215,1517.6599999999999,918.03,476.14,2300.6400000000003,0.24618485932117798,-0.6570560145204158,-0.029999999999999916,-0.05999999999999994,,1.01,WAIT,0,"UP15-,UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:26:49,1789990008,btc-updown-5m-1789989900,192,0.84,0.85,0.845,0.15,0.16,0.155,1600.4899999999998,1048.8400000000001,774.87,2199.29,0.20822245624365393,-0.47893186647658503,0.010000000000000009,0.0,,1.01,WAIT,2,"UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:26:50,1789990010,btc-updown-5m-1789989900,190,0.84,0.85,0.845,0.15,0.16,0.155,2574.2799999999997,1394.51,1055.6799999999998,2587.6800000000003,0.29726188586445734,-0.4204909753634009,0.010000000000000009,0.0,,1.01,WAIT,2,"UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:26:52,1789990011,btc-updown-5m-1789989900,189,0.85,0.86,0.855,0.14,0.15,0.14500000000000002,2368.76,2140.66,1422.06,2426.34,0.05058300180511027,-0.26096039912690994,0.06999999999999995,0.010000000000000009,,1.01,WAIT,3,"UP5+,DOWN_BOOK_WEAK"
2026-09-21 11:26:53,1789990013,btc-updown-5m-1789989900,187,0.85,0.86,0.855,0.14,0.15,0.14500000000000002,1802.28,3392.2299999999996,2117.01,1335.93,-0.30608276815330027,0.22620723209786445,0.010000000000000009,0.010000000000000009,,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:26:55,1789990014,btc-updown-5m-1789989900,186,0.85,0.86,0.855,0.14,0.15,0.14500000000000002,1490.93,3751.5599999999995,2431.34,1500.93,-0.4312130304492711,0.23660887985819895,0.010000000000000009,0.010000000000000009,0.010000000000000009,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:26:56,1789990016,btc-updown-5m-1789989900,184,0.84,0.85,0.845,0.15,0.16,0.155,1294.2,3849.24,3428.24,1269.2,-0.4967570342027904,0.4596205592833544,-0.010000000000000009,0.030000000000000027,0.0,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:26:58,1789990017,btc-updown-5m-1789989900,183,0.84,0.85,0.845,0.15,0.16,0.155,1288.8600000000001,3298.46,3705.6199999999994,1313.8600000000001,-0.4380771343616752,0.47649557324663105,-0.010000000000000009,0.010000000000000009,0.0,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:26:59,1789990019,btc-updown-5m-1789989900,181,0.84,0.85,0.845,0.15,0.16,0.155,1794.49,2785.56,2780.57,1789.49,-0.2163884673748103,0.2168636735622727,-0.010000000000000009,0.010000000000000009,0.0,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:27:01,1789990020,btc-updown-5m-1789989900,180,0.84,0.85,0.845,0.15,0.16,0.155,1862.74,2731.8599999999997,2766.8,1876.49,-0.18916118922213027,0.19174120074343842,-0.010000000000000009,0.010000000000000009,0.0,1.01,WAIT,0,
2026-09-21 11:27:02,1789990022,btc-updown-5m-1789989900,178,0.84,0.85,0.845,0.15,0.16,0.155,1383.68,3324.6899999999996,3294.6899999999996,1438.68,-0.41224670108763745,0.3921117512469973,0.0,0.05999999999999994,0.0,1.01,WAIT,0,"UP15+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:27:04,1789990023,btc-updown-5m-1789989900,177,0.84,0.85,0.845,0.15,0.16,0.155,1588.68,2889.0099999999998,2730.44,1599.16,-0.29040197065897816,0.2612897265336289,0.0,0.0,0.0,1.01,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:27:05,1789990025,btc-updown-5m-1789989900,175,0.84,0.85,0.845,0.15,0.16,0.155,2321.6800000000003,1321.49,1284.49,2756.05,0.2745383827820278,-0.3641988447088756,0.0,0.0,0.0,1.01,WAIT,2,"UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:27:07,1789990026,btc-updown-5m-1789989900,174,0.85,0.86,0.855,0.14,0.15,0.14500000000000002,2386.4500000000003,2203.59,1171.55,2707.42,0.039838432780542235,-0.39594789338406844,0.010000000000000009,0.0,0.010000000000000009,1.01,WAIT,1,DOWN_BOOK_WEAK
